ucc,n_2019_records,detail,component,exclusion_group,fred_series,present_in_2019_mtbi
230115,393,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
230122,0,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,FALSE
230142,131,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
230151,1234,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
230901,1964,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
240112,797,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
240122,797,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
240212,404,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
240213,91,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
240222,201,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
240312,402,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
240322,228,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
320612,1082,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
320622,0,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,FALSE
320632,8,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
340911,473,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,TRUE
990930,0,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,FALSE
220211,41379,property_taxes,property_taxes,property_taxes,CUUR0000SEHC,TRUE
530110,3323,public_transportation,public_transportation,other,CUUR0000SETG,TRUE
530210,785,public_transportation,public_transportation,other,CUUR0000SETG,TRUE
530311,4975,public_transportation,public_transportation,other,CUUR0000SETG,TRUE
530312,1583,public_transportation,public_transportation,other,CUUR0000SETG,TRUE
530411,1583,public_transportation,public_transportation,other,CUUR0000SETG,TRUE
530412,7263,public_transportation,public_transportation,other,CUUR0000SETG,TRUE
530510,985,public_transportation,public_transportation,other,CUUR0000SETG,TRUE
530901,308,public_transportation,public_transportation,other,CUUR0000SETG,TRUE
530902,28,public_transportation,public_transportation,other,CUUR0000SETG,TRUE
800710,819,rent_as_pay,rents,other,CUUR0000SEHA,TRUE
210110,21893,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
230121,0,rent_excluding_as_pay,rents,other,CUUR0000SEHA,FALSE
230141,5,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
230150,149,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
240111,80,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
240121,80,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
240211,36,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
240221,8,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
240311,40,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
240321,20,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
320611,124,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
320621,0,rent_excluding_as_pay,rents,other,CUUR0000SEHA,FALSE
320631,30,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
350110,2253,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
790690,15,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
990920,25,rent_excluding_as_pay,rents,other,CUUR0000SEHA,TRUE
630110,8665,tobacco,tobacco,food_alcohol_tobacco,CUUR0000SEGA,TRUE
630210,2688,tobacco,tobacco,food_alcohol_tobacco,CUUR0000SEGA,TRUE
250111,116,utilities,utilities,other,CUUR0000SAH2,TRUE
250112,928,utilities,utilities,other,CUUR0000SAH2,TRUE
250113,19,utilities,utilities,other,CUUR0000SAH2,TRUE
250114,0,utilities,utilities,other,CUUR0000SAH2,FALSE
250211,159,utilities,utilities,other,CUUR0000SAH2,TRUE
250212,1038,utilities,utilities,other,CUUR0000SAH2,TRUE
250213,353,utilities,utilities,other,CUUR0000SAH2,TRUE
250214,2,utilities,utilities,other,CUUR0000SAH2,TRUE
250221,0,utilities,utilities,other,CUUR0000SAH2,FALSE
250222,0,utilities,utilities,other,CUUR0000SAH2,FALSE
250223,0,utilities,utilities,other,CUUR0000SAH2,FALSE
250224,0,utilities,utilities,other,CUUR0000SAH2,FALSE
250901,0,utilities,utilities,other,CUUR0000SAH2,FALSE
250902,0,utilities,utilities,other,CUUR0000SAH2,FALSE
250903,0,utilities,utilities,other,CUUR0000SAH2,FALSE
250904,0,utilities,utilities,other,CUUR0000SAH2,FALSE
260111,17545,utilities,utilities,other,CUUR0000SAH2,TRUE
260112,41194,utilities,utilities,other,CUUR0000SAH2,TRUE
260113,805,utilities,utilities,other,CUUR0000SAH2,TRUE
260114,342,utilities,utilities,other,CUUR0000SAH2,TRUE
260211,7282,utilities,utilities,other,CUUR0000SAH2,TRUE
260212,24197,utilities,utilities,other,CUUR0000SAH2,TRUE
260213,296,utilities,utilities,other,CUUR0000SAH2,TRUE
260214,163,utilities,utilities,other,CUUR0000SAH2,TRUE
270101,0,utilities,utilities,other,CUUR0000SAH2,FALSE
270102,53890,utilities,utilities,other,CUUR0000SAH2,TRUE
270103,0,utilities,utilities,other,CUUR0000SAH2,FALSE
270104,130,utilities,utilities,other,CUUR0000SAH2,TRUE
270211,6294,utilities,utilities,other,CUUR0000SAH2,TRUE
270212,27477,utilities,utilities,other,CUUR0000SAH2,TRUE
270213,240,utilities,utilities,other,CUUR0000SAH2,TRUE
270214,230,utilities,utilities,other,CUUR0000SAH2,TRUE
270411,3540,utilities,utilities,other,CUUR0000SAH2,TRUE
270412,17721,utilities,utilities,other,CUUR0000SAH2,TRUE
270413,240,utilities,utilities,other,CUUR0000SAH2,TRUE
270414,112,utilities,utilities,other,CUUR0000SAH2,TRUE
270901,2,utilities,utilities,other,CUUR0000SAH2,TRUE
270902,187,utilities,utilities,other,CUUR0000SAH2,TRUE
270903,10,utilities,utilities,other,CUUR0000SAH2,TRUE
270904,0,utilities,utilities,other,CUUR0000SAH2,FALSE
