variable,codebook_label,mean_abs_diff,max_abs_diff
X820,Q260A1 N Q260A1:D39. ADJUSTABLE RATE LOAN? X820,12.743892289926306,14.781255982432414
X3023,Q742 N Q742:J7. HOW RATE RETIREMENT INCOME X3023,12.743930417845014,14.78074732435894
X7945,Q695A5 N Q695A5:H14. CURRENT APR X7945,12.744897227687494,14.8
X302,Q33 N Q33:A2. INTEREST RATES HIGHER/LOWER X302,12.750505527836948,14.784358317200487
X2620,Q652A2 N Q652A2:G37. CURRENT APR X2620,12.753249849065394,14.8
X1133,Q315A3 N Q315A3:D53_7. ANNUAL INTEREST RATE X1133,12.756156144021938,14.8
X824,Q264A1 N Q264A1:D39_3F. FREQ RATE CHANGE X824,12.761521576712946,14.794946524238235
X7968,Q695A6 N Q695A6:H14. CURRENT APR X7968,12.761583536252344,14.8
X1727,Q441A1 N Q441A1:E32. ADJUSTABLE RATE? X1727,12.764278256276445,14.799474224928025
X920,Q260A2 N Q260A2:D39. ADJUSTABLE RATE LOAN? X920,12.76427877856702,14.798299418484609
X1020,Q260A3 N Q260A3:D39. ADJUSTABLE RATE LOAN? X1020,12.765256429072387,14.797759141701528
X821,Q261A1 N Q261A1:D39_1.RATE DEPEND ON OTH RATES? X821,12.765419676590064,14.798478774550778
X7809,Q677A1 N Q677A1:H7. ACCUM INTEREST DURING DEFER X7809,12.765599530497276,14.7986678398929
X823,Q263A1 N Q263A1:D39_3.#TIMES RATE CAN CHNG/FREQ X823,12.765751005565532,14.799240253035078
X825,Q267A1 N Q267A1:D39_4.SIZE PMTS CHANGE W/RATE? X825,12.765778298812414,14.799370530362843
X1827,Q441A2 N Q441A2:E32. ADJUSTABLE RATE? X1827,12.766158270705013,14.8
X7832,Q677A2 N Q677A2:H7. ACCUM INTEREST DURING DEFER X7832,12.766295749554653,14.799785383693846
X6833,Q913A2 N Q913A2:N43_2. TRUSTS W/EQUITY INTEREST X6833,12.766364506546452,14.8
X1927,Q441A3 N Q441A3:E32. ADJUSTABLE RATE? X1927,12.766547606023284,14.8
X7855,Q677A3 N Q677A3:H7. ACCUM INTEREST DURING DEFER X7855,12.76662110884562,14.8
X7909,Q677A4 N Q677A4:H7. ACCUM INTEREST DURING DEFER X7909,12.766642793953404,14.8
X2941,Q727A6 N Q727A6:I13. CURRENT APR X2941,12.766653392135678,14.8
X7932,Q677A5 N Q677A5:H7. ACCUM INTEREST DURING DEFER X7932,12.766660257310397,14.8
X7955,Q677A6 N Q677A6:H7. ACCUM INTEREST DURING DEFER X7955,12.766660257310397,14.8
X6820,Q916A1 N Q916A1:N44. VALUE OF INTEREST X6820,14.796123937253757,25.51027726615302
X6835,Q916A2 N Q916A2:N44. VALUE OF INTEREST X6835,64.00319215485982,134.1883143457219
