QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VEHICYB,VEHICYB_,VEHICYR,VEHICYR_,VEHBSNZ,VEHBSNZ_,VEHNEWU,VEHNEWU_,VEHGFTC,VEHGFTC_,VEHPURMO,VEHP_RMO,VEHPURYR,VEHP_RYR,VFINSTAT,VFIN_TAT,TRADEX,TRADEX_,NETPURX,NETPURX_,DNPAYMTX,DNPA_MTX,PRINCIPX,PRIN_IPX,VEHQPMT,VEHQPMT_,PMT1MO,PMT1MO_,PMT1YR,PMT1YR_,PAYMENTX,PAYM_NTX,QINTRSTZ,QINT_STZ,QLOANM1Q,QLOA_M1Q,QBALNM1X,QBAL_M1X,QVINTM1X,QVIN_M1X,QVPRIM1X,QVPR_M1X,QLOANM2Q,QLOA_M2Q,QBALNM2X,QBAL_M2X,QVINTM2X,QVIN_M2X,QVPRIM2X,QVPR_M2X,QLOANM3Q,QLOA_M3Q,QBALNM3X,QBAL_M3X,QVINTM3X,QVIN_M3X,QVPRIM3X,QVPR_M3X,QTRADEX,QTRADEX_,QREIMBRZ,QREI_BRZ,QADITR1X,QADI_R1X,QADITR2X,QADI_R2X,QADITR3X,QADI_R3X,QDNPYMTX,QDNP_MTX,VEHEQTLN,VEHE_TLN,VEHICIB,VEHICIB_,MAKE,MAKE_,OVBPURCH,VFINANCE,FUELTYPE,FUEL_YPE,VPURINDV,VPUR_NDV,VINTRATE,VINT_ATE
20181,03639754,15,0,5,100,D,27,D,,A,2,D,1,D,05,D,2011,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,HON,D,,1,1,D,2,D,,A
20181,03639774,7,0,5,100,D,25,D,,A,2,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,DOD,D,,2,1,D,1,D,,A
20181,03639774,8,0,5,110,D,23,D,,A,2,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHE,D,,2,1,D,1,D,,A
20181,03639794,16,0,5,100,D,36,D,,A,1,D,1,D,09,D,2015,D,2,D,,A,52000,D,0,D,52000,D,60,D,10,D,2015,D,967,D,.0440,D,25,D,32561,D,119,D,848,D,26,D,31713,D,116,D,851,D,27,D,30862,D,113,D,854,D,52000,D,,A,119,D,116,D,113,D,0,D,2,D,01,D,MRB,D,,1,1,D,2,D,.0300,D
20181,03639794,17,0,5,110,D,32,D,,A,2,D,1,D,06,D,2014,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHE,D,,1,1,D,2,D,,A
20181,03639794,18,0,5,100,D,19,D,,A,1,D,1,D,06,D,1999,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,LEX,D,,1,1,D,2,D,,A
20181,03639814,43,0,5,110,D,23,D,,A,2,D,1,D,05,D,2015,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,CHE,D,,2,1,D,1,D,,A
20181,03639814,44,0,5,100,D,25,D,,A,2,D,1,D,06,D,2010,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,NIS,D,,2,1,D,1,D,,A
20181,03639874,27,0,5,100,D,29,D,,A,1,D,1,D,09,D,2009,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,LEX,D,,1,1,D,2,D,,A
20181,03639874,28,0,5,110,D,37,D,,A,1,D,1,D,07,D,2017,D,2,D,1500,D,36200,D,6000,D,30248,D,72,D,08,D,2017,D,487,D,.0500,D,3,D,29525,D,123,D,364,D,4,D,29161,D,122,D,365,D,5,D,28795,D,120,D,367,D,36200,D,,A,123,D,122,D,120,D,6000,D,2,D,03,D,NIS,D,,1,1,D,2,D,.0499,D
20181,03639914,30,0,5,110,D,32,D,,A,2,D,1,D,08,D,2015,D,2,D,5000,D,23000,D,0,D,23000,D,60,D,11,D,2015,D,479,D,.0910,D,24,D,15378,D,117,D,362,D,25,D,15016,D,114,D,365,D,26,D,14650,D,111,D,368,D,23000,D,,A,117,D,114,D,111,D,0,D,2,D,01,D,FOR,D,,1,1,D,2,D,.0520,D
20181,03639914,31,0,5,110,D,30,D,,A,2,D,1,D,09,D,2011,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,02,D,FOR,D,,1,1,D,2,D,.0600,D
20181,03639944,27,0,5,110,D,35,D,,A,1,D,1,D,03,D,2016,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,JEE,D,,1,1,D,2,D,,A
20181,03639944,28,0,5,130,D,,A,,A,1,D,1,D,02,D,2014,D,2,D,6000,D,24000,D,0,D,38595,D,180,D,04,D,2014,D,287,D,.0410,D,43,D,31602,D,108,D,179,D,44,D,31422,D,107,D,180,D,45,D,31243,D,107,D,180,D,24000,D,,A,108,D,107,D,107,D,0,D,2,D,03,D,,A,2,1,,A,2,D,.0500,D
20181,03639944,29,0,5,110,D,34,D,,A,2,D,1,D,05,D,2017,D,2,D,5000,D,23540,D,0,D,28000,D,72,D,06,D,2017,D,405,D,.0135,D,5,D,26503,D,30,D,375,D,6,D,26128,D,29,D,376,D,7,D,25753,D,29,D,376,D,23540,D,,A,30,D,29,D,29,D,0,D,2,D,04,D,CHE,D,,1,5,D,2,D,.0500,D
20181,03639974,28,0,5,100,D,34,D,,A,1,D,1,D,11,D,2013,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,SUB,D,,1,1,D,2,D,,A
20181,03639974,29,0,5,110,D,25,D,,A,1,D,1,D,04,D,2005,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHE,D,,1,2,D,2,D,,A
20181,03639974,30,0,5,130,D,,A,,A,2,D,1,D,06,D,2007,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,,2,,A,1,D,,A
20181,03639974,31,0,5,180,D,,A,,A,1,D,1,D,08,D,2005,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,,A,,2,,A,2,D,,A
20181,03639974,32,0,1,110,D,37,D,,A,1,D,1,D,11,D,2017,D,,A,,A,28000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,28000,D,,A,,A,,A,,A,,A,,A,05,D,FOR,D,,2,1,D,2,D,,A
20181,03640044,23,0,5,100,D,24,D,,A,2,D,1,D,11,D,2008,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,CHE,D,,2,1,D,2,D,,A
20181,03640044,24,0,5,110,D,01,D,,A,1,D,1,D,,C,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHE,D,,2,1,D,2,D,,A
20181,03640054,49,0,5,110,D,31,D,,A,1,D,1,D,08,D,2011,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,HYU,D,,1,1,D,2,D,,A
20181,03640054,50,0,5,110,D,34,D,,A,2,D,1,D,05,D,2017,D,2,D,2500,D,25700,D,0,D,26000,D,60,D,07,D,2017,D,461,D,.0245,D,4,D,24774,D,51,D,410,D,5,D,24363,D,50,D,411,D,6,D,23952,D,49,D,412,D,25700,D,,A,51,D,50,D,49,D,0,D,2,D,03,D,HON,D,,1,1,D,2,D,.0249,D
20181,03640064,16,0,5,110,D,09,D,,A,2,D,1,D,08,D,2016,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,DOD,D,,2,1,D,1,D,,A
20181,03640064,17,0,5,110,D,33,D,,A,1,D,1,D,06,D,2014,D,2,D,3500,D,19000,D,0,D,19082,D,60,D,07,D,2014,D,345,D,.0325,D,40,D,7034,D,19,D,326,D,41,D,6708,D,18,D,327,D,42,D,6381,D,17,D,328,D,19000,D,,A,19,D,18,D,17,D,0,D,2,D,02,D,MAZ,D,,1,1,D,2,D,.0325,D
20181,03640104,19,0,5,100,D,22,D,,A,2,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,MIN,D,,2,1,D,2,D,,A
20181,03640104,20,0,5,100,D,33,D,,A,1,D,1,D,,C,2013,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,HYU,D,,2,1,D,2,D,,A
20181,03640114,24,0,5,110,D,14,D,,A,2,D,1,D,10,D,2002,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,TOY,D,,2,1,D,1,D,,A
20181,03640114,25,0,5,110,D,22,D,,A,2,D,1,D,08,D,2017,D,,A,,A,9500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,9500,D,,A,,A,,A,,A,,A,,A,02,D,TOY,D,,2,1,D,1,D,,A
20181,03640134,30,0,5,110,D,25,D,,A,1,D,1,D,05,D,2005,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,DOD,D,,1,1,D,2,D,,A
20181,03640134,31,0,5,110,D,21,D,,A,2,D,1,D,02,D,2014,D,2,D,,A,9000,D,2200,D,12547,D,60,D,04,D,2014,D,235,D,.0470,D,43,D,4080,D,16,D,219,D,44,D,3861,D,15,D,220,D,45,D,3641,D,14,D,221,D,9000,D,,A,16,D,15,D,14,D,2200,D,2,D,02,D,DOD,D,,1,1,D,2,D,.0400,D
20181,03640174,24,0,5,100,D,,C,,A,1,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,,2,1,D,2,D,,A
20181,03640174,25,0,5,100,D,,C,,A,1,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,,2,1,D,2,D,,A
20181,03640174,26,0,5,100,D,,C,,A,1,D,1,D,07,D,2017,D,2,D,,A,,C,,C,50473,D,60,D,07,D,2017,D,900,D,.0270,D,4,D,48108,D,108,D,792,D,5,D,47317,D,106,D,794,D,6,D,46523,D,105,D,795,D,,B,0.50,D,54,D,53,D,53,D,,C,2,D,03,D,,A,,1,1,D,2,D,,C
20181,03640184,26,0,5,100,D,28,D,,A,1,D,1,D,04,D,2008,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,HON,D,,1,1,D,2,D,,A
20181,03640184,27,0,5,110,D,15,D,,A,1,D,1,D,08,D,1995,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,GMC,D,,1,1,D,2,D,,A
20181,03640184,28,0,5,110,D,21,D,,A,2,D,1,D,08,D,2013,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,MIT,D,,2,1,D,1,D,,A
20181,03640184,29,0,5,160,D,,A,,A,2,D,1,D,07,D,2017,D,,A,,A,9500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,9500,D,,A,,A,,A,,A,,A,,A,04,D,,A,,2,,A,1,D,,A
20181,03640184,30,0,1,160,D,,A,,A,2,D,1,D,10,D,2017,D,,A,,A,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,225,D,,A,,A,,A,,A,,A,,A,05,D,,A,,2,,A,1,D,,A
20181,03640214,49,0,5,100,D,35,D,,A,1,D,1,D,06,D,2015,D,2,D,9500,D,22000,D,0,D,26045,D,72,D,07,D,2015,D,412,D,.0435,D,28,D,17054,D,62,D,350,D,29,D,16703,D,61,D,351,D,30,D,16352,D,59,D,353,D,22000,D,,A,62,D,61,D,59,D,0,D,2,D,01,D,FOR,D,,1,1,D,2,D,,C
20181,03640214,50,0,5,110,D,37,D,,A,1,D,1,D,05,D,2017,D,2,D,,A,9000,D,,C,7660,D,36,D,06,D,2017,D,227,D,.0425,D,5,D,6856,D,24,D,203,D,6,D,6654,D,24,D,203,D,7,D,6450,D,23,D,204,D,9000,D,,A,24,D,24,D,23,D,,C,2,D,02,D,CHE,D,,1,1,D,2,D,.0425,D
20181,03640214,51,0,5,110,D,17,D,,A,1,D,1,D,,C,2002,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,DOD,D,,2,1,D,2,D,,A
20181,03640264,13,0,5,100,D,24,D,,A,1,D,1,D,03,D,2004,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,MEC,D,,2,1,D,2,D,,A
20181,03640264,14,0,5,110,D,02,D,,A,2,D,1,D,,C,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,DOD,D,,2,1,D,2,D,,A
20181,03640284,8,0,5,100,D,22,D,,A,2,D,1,D,04,D,2017,D,,A,,A,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,700,D,,A,,A,,A,,A,,A,,A,01,D,BUI,D,,2,1,D,1,D,,A
20181,03640304,31,0,5,110,D,28,D,,A,2,D,1,D,10,D,2010,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,TOY,D,,2,1,D,2,D,,A
20181,03640304,32,0,5,110,D,29,D,,A,2,D,1,D,03,D,2016,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,MAZ,D,,2,1,D,1,D,,A
20181,03640304,33,0,5,110,D,33,D,,A,2,D,1,D,11,D,2015,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,FOR,D,,2,1,D,2,D,,A
20181,03640344,15,0,5,100,D,32,D,,A,2,D,1,D,08,D,2013,D,2,D,5000,D,22000,D,5000,D,15420,D,60,D,09,D,2013,D,342,D,.1190,D,50,D,3564,D,35,D,307,D,51,D,3258,D,32,D,310,D,52,D,2948,D,29,D,313,D,22000,D,,A,35,D,32,D,29,D,5000,D,2,D,01,D,CHE,D,,1,1,D,2,D,.1200,D
20181,03640364,19,0,5,100,D,32,D,,A,2,D,1,D,,C,2014,D,2,D,5000,D,12000,D,3000,D,10835,D,48,D,03,D,2014,D,248,D,.0470,D,44,D,1228,D,5,D,243,D,45,D,985,D,4,D,244,D,46,D,741,D,3,D,245,D,12000,D,,A,5,D,4,D,3,D,3000,D,2,D,01,D,VOK,D,,1,1,D,2,D,,C
20181,03640364,20,0,5,110,D,30,D,,A,2,D,1,D,,C,2014,D,1,D,,A,14490,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,14490,D,,A,,A,,A,,A,,A,2,D,02,D,CHE,D,,1,1,D,2,D,,C
20181,03640364,21,0,5,160,D,,A,,A,2,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,,2,,A,1,D,,A
20181,03640374,18,0,5,100,D,21,D,,A,1,D,1,D,08,D,2000,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,TOY,D,,1,1,D,2,D,,A
20181,03640414,28,0,5,100,D,32,D,,A,2,D,1,D,10,D,2015,D,2,D,,A,11000,D,1000,D,8516,D,48,D,11,D,2015,D,200,D,.0600,D,24,D,4689,D,23,D,177,D,25,D,4513,D,23,D,177,D,26,D,4335,D,22,D,178,D,11000,D,,A,23,D,23,D,22,D,1000,D,2,D,01,D,HON,D,,1,1,D,1,D,.0600,D
20181,03640434,23,0,5,110,D,23,D,,A,2,D,1,D,07,D,2017,D,,A,,A,1374,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1374,D,,A,,A,,A,,A,,A,,A,02,D,CHE,D,,2,1,D,1,D,,A
20181,03640454,19,0,5,100,D,27,D,,A,2,D,1,D,,C,2012,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,LEX,D,,2,1,D,1,D,,A
20181,03640454,20,0,5,110,D,22,D,,A,2,D,1,D,,C,2013,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,LAN,D,,2,1,D,1,D,,A
