spec_id,note,measure,n_stage1,n_ar,n_households,rho,eta_sd_pct,paper_eta_sd_pct,diff_from_paper_pct,abs_diff_from_paper_pct
appendix_housop_interest_cashco_nonhealth_insurance,Adds broad non-health insurance/pensions to preferred first pass as a literal broad-insurance sensitivity.,excluding_food,83072,55888,25913,-0.39362211046236706,23.049442747253728,27.5,-4.450557252746272,4.450557252746272
appendix_housop_interest_cashco_nonhealth_insurance,Adds broad non-health insurance/pensions to preferred first pass as a literal broad-insurance sensitivity.,excluding_food_property_taxes,83025,55850,25899,-0.38538729221429896,24.804743443118195,29.4,-4.595256556881804,4.595256556881804
appendix_housop_interest_no_cashco,"Preferred first pass without CASHCO, to isolate cash contributions.",benchmark,83142,55929,25942,-0.39178288651245824,19.638090735373844,19.6,0.03809073537384222,0.03809073537384222
appendix_housop_interest_no_cashco,"Preferred first pass without CASHCO, to isolate cash contributions.",excluding_food,82844,55752,25822,-0.39058367749222467,25.1909470947284,27.5,-2.3090529052715993,2.3090529052715993
appendix_housop_interest_no_cashco,"Preferred first pass without CASHCO, to isolate cash contributions.",excluding_food_property_taxes,82751,55666,25800,-0.38460458486043236,27.344612624406544,29.4,-2.0553873755934546,2.0553873755934546
appendix_housop_outlay_cashco,Preferred first pass plus main/vacation mortgage-principal outlays.,benchmark,83142,55929,25942,-0.3900450902028735,20.20002924832996,19.6,0.6000292483299603,0.6000292483299603
appendix_housop_outlay_cashco,Preferred first pass plus main/vacation mortgage-principal outlays.,excluding_food,82886,55772,25841,-0.38989001705690396,25.667099797285804,27.5,-1.832900202714196,1.832900202714196
appendix_housop_outlay_cashco,Preferred first pass plus main/vacation mortgage-principal outlays.,excluding_food_property_taxes,82800,55690,25821,-0.38403703652870175,27.536978676650715,29.4,-1.8630213233492832,1.8630213233492832
appendix_narrow_ops_interest_cashco,"Uses OTHHEXP + BBYDAY instead of HOUSOP, excluding domestic services except childcare.",benchmark,83142,55929,25942,-0.39097820656214327,20.27871527509243,19.6,0.6787152750924292,0.6787152750924292
appendix_narrow_ops_interest_cashco,"Uses OTHHEXP + BBYDAY instead of HOUSOP, excluding domestic services except childcare.",excluding_food,82864,55761,25831,-0.3902779572877232,25.975526107456087,27.5,-1.524473892543913,1.524473892543913
appendix_narrow_ops_interest_cashco,"Uses OTHHEXP + BBYDAY instead of HOUSOP, excluding domestic services except childcare.",excluding_food_property_taxes,82772,55673,25809,-0.3830209733435997,28.084140414652214,29.4,-1.3158595853477841,1.3158595853477841
current_compact_broad_food,Current compact-style component list with broad food/alcohol/tobacco exclusion; included for comparison.,benchmark,83157,55938,25948,-0.39526088874357446,19.48721351034078,19.6,-0.11278648965922144,0.11278648965922144
current_compact_broad_food,Current compact-style component list with broad food/alcohol/tobacco exclusion; included for comparison.,excluding_food,83083,55894,25918,-0.3936727749516981,23.76073181239167,27.5,-3.7392681876083316,3.7392681876083316
current_compact_broad_food,Current compact-style component list with broad food/alcohol/tobacco exclusion; included for comparison.,excluding_food_property_taxes,83045,55862,25908,-0.39167547754805543,25.531405677594265,29.4,-3.868594322405734,3.868594322405734
prior_best_fit_broad_food,"Prior near-fit: compact list, drop PERINS/LIFINS/VEHINS, add CASHCO; still includes HOUSEQ and double counts HOUSOP/DOMSRV/BBYDAY.",benchmark,83152,55933,25947,-0.3863009078249533,21.38683774855582,19.6,1.7868377485558185,1.7868377485558185
prior_best_fit_broad_food,"Prior near-fit: compact list, drop PERINS/LIFINS/VEHINS, add CASHCO; still includes HOUSEQ and double counts HOUSOP/DOMSRV/BBYDAY.",excluding_food,82957,55814,25869,-0.38350426814727046,27.36986271587248,27.5,-0.130137284127521,0.130137284127521
prior_best_fit_broad_food,"Prior near-fit: compact list, drop PERINS/LIFINS/VEHINS, add CASHCO; still includes HOUSEQ and double counts HOUSOP/DOMSRV/BBYDAY.",excluding_food_property_taxes,82889,55750,25855,-0.38104309997352714,29.484375442544845,29.4,0.08437544254484663,0.08437544254484663
